date,tic,open,high,low,close,volume
2019-01-02,601328.SH,5.77,5.8,5.64,5.67,649836.44
2019-01-03,601328.SH,5.67,5.78,5.66,5.78,645374.99
2019-01-04,601328.SH,5.75,5.87,5.73,5.86,758836.29
2019-01-07,601328.SH,5.89,5.9,5.81,5.83,490107.05
2019-01-08,601328.SH,5.84,5.86,5.81,5.85,390041.29
2019-01-09,601328.SH,5.9,5.97,5.87,5.88,717273.53
2019-01-10,601328.SH,5.89,5.91,5.85,5.85,451585.53
2019-01-11,601328.SH,5.89,5.94,5.87,5.92,477674.96
2019-01-14,601328.SH,5.91,5.95,5.88,5.89,386888.37
2019-01-15,601328.SH,5.92,5.96,5.91,5.95,534235.76
2019-01-16,601328.SH,5.94,5.97,5.9,5.96,491214.59
2019-01-17,601328.SH,5.98,5.98,5.88,5.91,541767.88
2019-01-18,601328.SH,5.97,5.99,5.93,5.98,590517.7
2019-01-21,601328.SH,5.96,6.03,5.96,6.03,753877.81
2019-01-22,601328.SH,6.02,6.05,6.0,6.02,465879.65
2019-01-23,601328.SH,6.04,6.04,5.99,6.0,373068.69
2019-01-24,601328.SH,6.02,6.04,5.96,5.99,384916.67
2019-01-25,601328.SH,6.03,6.07,5.99,6.02,588821.9
2019-01-28,601328.SH,6.05,6.07,5.99,6.01,467302.35
2019-01-29,601328.SH,6.0,6.17,6.0,6.14,1006129.09
2019-01-30,601328.SH,6.12,6.14,6.07,6.1,562192.59
2019-01-31,601328.SH,6.13,6.26,6.1,6.25,856922.76
2019-02-01,601328.SH,6.28,6.28,6.17,6.22,641642.86
2019-02-11,601328.SH,6.17,6.2,6.13,6.17,658405.46
2019-02-12,601328.SH,6.19,6.2,6.13,6.16,523023.01
2019-02-13,601328.SH,6.17,6.29,6.13,6.27,882616.86
2019-02-14,601328.SH,6.26,6.27,6.19,6.21,475369.08
2019-02-15,601328.SH,6.2,6.22,6.08,6.08,631648.5
2019-02-18,601328.SH,6.14,6.19,6.1,6.17,599685.44
2019-02-19,601328.SH,6.16,6.22,6.12,6.13,725586.28
2019-02-20,601328.SH,6.16,6.18,6.11,6.14,589945.27
2019-02-21,601328.SH,6.15,6.17,6.1,6.12,709038.26
2019-02-22,601328.SH,6.13,6.2,6.08,6.2,928844.31
2019-02-25,601328.SH,6.22,6.54,6.21,6.54,2512690.24
